,A薬品庫右,A薬品庫左,B薬品庫,冷蔵①,冷蔵②,冷蔵③,冷蔵④,冷蔵⑤,冷蔵⑥,冷凍,D薬品庫,無水箱,個人所有,その他,3階試薬庫,none,メーカー名,規格名,CAS No.,内容量,内容量単位,未開封,開封,SMILES,構造式,官能基,,薬品名（日本語Ⅰ）,薬品名（日本語Ⅱ）,薬品名（日本語Ⅲ）,薬品名（英語Ⅰ）,薬品名（英語Ⅱ）,薬品名（英語Ⅲ）,メーカー（日本語）,メーカー（英語）,規格（日本語）,規格（英語）,内容量,内容量単位（日本語）,内容量単位（英語）,比重,保存方法（日本語）,保存方法（英語）,廃棄区分（日本語）,廃棄区分（英語）,PRTR 種別（薬品）,PRTR 管理番号（薬品）,PRTR 含有率（%）（薬品）,CAS No.,薬品ラベルバーコードNo.,製品番号,標準価格（円）,示性式,容器区分（日本語）,容器区分（英語）,形状,純度規格,式量,物性,管理方法（日本語）,管理方法（英語）,管理方法単位（日本語）,管理方法単位（英語）,計量方法（日本語）,計量方法（英語）,計量方法単位（日本語）,計量方法単位（英語）,入力方法（日本語）,入力方法（英語）,使用期限・未開封（年）,使用期限・未開封（日）,使用期限・開封（年）,使用期限・開封（日）,オリジナルワード,SDS（英語）,構造式（日本語）,構造式（英語）,分子式,増減許容値（+）,増減許容値（+）単位（日本語）,増減許容値（+）単位（英語）,増減許容値（-）,増減許容値（-）単位（日本語）,増減許容値（-）単位（英語）,増減許容値（%+）,増減許容値（%-）
"2,2-ビス(3-アミノ-4-ヒドロキシフェニル)ヘキサフルオロプロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 83558-87-6,5,g,1,0,,,,,"2,2-ビス(3-アミノ-4-ヒドロキシフェニル)ヘキサフルオロプロパン",,,"2,2-Bis(3-amino-4-hydroxyphenyl)hexafluoropropane",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 83558-87-6,CFGEG,B1415,5400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2-ビス(4-アミノフェニル)ヘキサフルオロプロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1095-78-9,5,g,1,0,,,,,"2,2-ビス(4-アミノフェニル)ヘキサフルオロプロパン",,,"2,2-Bis(4-aminophenyl)hexafluoropropane",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 1095-78-9,CE1EG,B1400,15400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2-ビス(4-カルボキシフェニル)ヘキサフルオロプロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1171-47-7,5,g,1,0,,,,,"2,2-ビス(4-カルボキシフェニル)ヘキサフルオロプロパン",,,"2,2-Bis(4-carboxyphenyl)hexafluoropropane",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 1171-47-7,CE2EG,B1401,5800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2-ビス(4-グリシジルオキシフェニル)プロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1675-54-3,25,g,1,0,,,,,"2,2-ビス(4-グリシジルオキシフェニル)プロパン",,,"2,2-Bis(4-glycidyloxyphenyl)propane",,,東京化成工業株式会社,,-,-,25,g,g,1.17,-,-,-,-,,,, 1675-54-3,NC2KG,B1796,4600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2-ビス(4-ヒドロキシフェニル)プロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 80-05-7,25,g,2,0,,,,,"2,2-ビス(4-ヒドロキシフェニル)プロパン",,,"2,2-Bis(4-hydroxyphenyl)propane",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,1,37,100, 80-05-7,BPXKG,B0494,1900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2'-ﾋﾞﾋﾟﾘｼﾞﾙ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,特級, 366-18-7,1,g,1,0,,,,,"2,2'-ﾋﾞﾋﾟﾘｼﾞﾙ","2,2'-ﾋﾞﾋﾟﾘｼﾞﾝ","2,2'-ｼﾞﾋﾟﾘｼﾞﾙ","2,2'-Bipyridyl","2,2'-Bipyridine","2,2'-Dipyridyl",関東化学株式会社,"Kanto Chemical Co., Inc.",特級,,1,g,g,1,-,-,-,-,,,, 366-18-7,1048560O,10485-60,2300,C10H8N2,ガラスビン,,"白～極薄黄･極薄紅,結晶",>99.5%(T),156.1836,bp.272℃～273℃ mp.69.7℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,366187.jpg,,C10／H8／N2,,,,,,,,
"2,2'-ビピリジル",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ナカライテスク（株）,特級(ＧＲ), 366-18-7,5,g,1,0,,,,,"2,2'-ビピリジル",,,"2,2'-Bipyridyl",,,ナカライテスク（株）,,特級(ＧＲ),,5,g,g,1,-,-,-,-,,,, 366-18-7,0U1SK,14020-94,3100,(C5H4N)2,,,,≧99.5%(T),156.18,mp. 71℃ bp. 273℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2'-ビピリジル1,1'-ジオキシド",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 7275-43-6,5,g,2,0,,,,,"2,2'-ビピリジル1,1'-ジオキシド",,,"2,2'-Bipyridyl 1,1'-Dioxide",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 7275-43-6,XPBEG,B3859,10800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,2'-ビフェニルジカルボン酸",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 482-05-3,25,g,1,0,,,,,"2,2'-ビフェニルジカルボン酸",,,"2,2'-Biphenyldicarboxylic Acid",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 482-05-3,D69KG,D0864,13100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3,3-トリメチルインドレニン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1640-39-7,25,ml,2,0,,,,,"2,3,3-トリメチルインドレニン",,,"2,3,3-Trimethylindolenine",,,東京化成工業株式会社,,-,-,25,ml,ml,0.99,-,-,-,-,,,, 1640-39-7,K7JKM,T0766,5800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3,4,5,6-ペンタフルオロスチレン",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,東京化成工業株式会社,-, 653-34-9,5,g,1,0,,,,,"2,3,4,5,6-ペンタフルオロスチレン",,,"2,3,4,5,6-Pentafluorostyrene(stabilized with TBC)",,,東京化成工業株式会社,,-,-,5,g,g,1.43,冷蔵貯蔵,,-,-,,,, 653-34-9,I6CEG,P0862,7600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3,4-トリヒドロキシベンズアルデヒド",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 2144-08-3,5,g,1,0,,,,,"2,3,4-トリヒドロキシベンズアルデヒド",,,"2,3,4-Trihydroxybenzaldehyde",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 2144-08-3,R6GEG,T2158,3200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3,5,6-テトラメチルピラジン (25g)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルムワコーケミカル(株) (和光純薬取扱),-, 1124-11-4,25,g,1,0,,,,,"2,3,5,6-テトラメチルピラジン (25g)",,,"2,3,5,6-Tetramethylpyrazine",,,富士フイルムワコーケミカル(株) (和光純薬取扱),,-,-,25,g,g,1,室温,,-,-,,,, 1124-11-4,4.99E+12,324-64252,7590,C8H12N2,,,,97+%(NMR),,mp. 84～86℃ bp. 190℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3-ｼﾞﾋﾄﾞﾛｷｼ安息香酸",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,関東化学株式会社,鹿特級, 303-38-8,5,g,1,0,,,,,"2,3-ｼﾞﾋﾄﾞﾛｷｼ安息香酸",o-ﾋﾟﾛｶﾃｷｭ酸,,"2,3-Dihydroxybenzoic acid",o-Pyrocatechuic acid,,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿特級,,5,g,g,1,-,-,-,-,,,, 303-38-8,0715650O,07156-50,11000,(HO)2C6H3COOH,ガラスビン,,,>97.0%(T),154.1197,mp.203℃～213℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C7／H6／O4,,,,,,,,
"2,3-ジメチルアントラセン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 613-06-9,200,mg,2,0,,,,,"2,3-ジメチルアントラセン",,,"2,3-Dimethylanthracene",,,東京化成工業株式会社,,-,-,200,mg,mg,1,-,-,-,-,,,, 613-06-9,QMMUD,D2979,24200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3-ジメチルナフタレン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 581-40-8,1,g,1,0,,,,,"2,3-ジメチルナフタレン",,,"2,3-Dimethylnaphthalene",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 581-40-8,D33BG,D0750,12200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3-ビス(2,4,5-トリメチル-3-チエニル)マレイミド",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 220191-36-6,100,mg,2,0,,,,,"2,3-ビス(2,4,5-トリメチル-3-チエニル)マレイミド",,,"2,3-Bis(2,4,5-trimethyl-3-thienyl)maleimide",,,東京化成工業株式会社,,-,-,100,mg,mg,1,-,-,-,-,,,, 220191-36-6,CIISD,B1535,11600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,3-ピリジンジカルボン酸",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 89-00-9,25,g,0,1,,,,,"2,3-ピリジンジカルボン酸",,,"2,3-Pyridinedicarboxylic Acid",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 89-00-9,IXOKG,P0550,4700,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4,6-トリ(4-ピリジル)-1,3,5-トリアジン (昇華精製品)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 42333-78-8,1,g,2,0,,,,,"2,4,6-トリ(4-ピリジル)-1,3,5-トリアジン (昇華精製品)",,,"2,4,6-Tri(4-pyridyl)-1,3,5-triazine(purified by sublimation)",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 42333-78-8,PDPBG,T1937,8100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4,6-トリブロモアニリン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 147-82-0,25,g,1,0,,,,,"2,4,6-トリブロモアニリン",,,"2,4,6-Tribromoaniline",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 147-82-0,LGHKG,T1088,3600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2',4',6'-トリメチルアセトフェノン",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1667-01-2,25,ml,1,0,,,,,"2',4',6'-トリメチルアセトフェノン",,,"2',4',6'-Trimethylacetophenone",,,東京化成工業株式会社,,-,-,25,ml,ml,0.98,-,-,-,-,,,, 1667-01-2,LHAKM,T1117,10300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ジアミノ-6-ヒドロキシピリミジン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 56-06-4,25,g,1,0,,,,,"2,4-ジアミノ-6-ヒドロキシピリミジン",,,"2,4-Diamino-6-hydroxypyrimidine",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 56-06-4,EJYKG,D1321,4000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ジクロロ-6-メチルアニリン (1g)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルムワコーケミカル(株) (和光純薬取扱),-, 30273-00-8,1,g,1,0,,,,,"2,4-ジクロロ-6-メチルアニリン (1g)",,,"2,4-Dichloro-6-methylaniline",,,富士フイルムワコーケミカル(株) (和光純薬取扱),,-,-,1,g,g,1,室温,,-,-,,,, 30273-00-8,4.99E+12,320-92501,4620,C7H7Cl2N,,,,97+%(GC),,mp. 43 - 45℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ジクロロフェノキシ酢酸ナトリウム一水和物",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 7084-86-8,25,g,1,0,,,,,"2,4-ジクロロフェノキシ酢酸ナトリウム一水和物",,,"Sodium 2,4-DichlorophenoxyacetateMonohydrate",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 7084-86-8,EJWKG,D1319,3200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ジヒドロキシベンズアルデヒド",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 95-01-2,25,g,2,0,,,,,"2,4-ジヒドロキシベンズアルデヒド",,,"2,4-Dihydroxybenzaldehyde",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 95-01-2,DYXKG,D0564,4900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ｼﾞﾋﾄﾞﾛｷｼ安息香酸",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,関東化学株式会社,鹿特級, 89-86-1,25,g,1,0,,,,,"2,4-ｼﾞﾋﾄﾞﾛｷｼ安息香酸",β-ﾚｿﾙｼﾝ酸,,"2,4-Dihydroxybenzoic acid",β-Resorcylic acid,,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿特級,,25,g,g,1,-,-,-,-,,,, 89-86-1,1027530I,10275-30,4300,(OH)2C6H3COOH,ガラスビン,,,>97.0%(T),154.1197,mp.213℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C7／H6／O4,,,,,,,,
"2,4'-ビピリジル",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 581-47-5,1,g,2,0,,,,,"2,4'-ビピリジル",,,"2,4'-Bipyridyl",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 581-47-5,BZ6BG,B0863,6000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,4-ピリジンジカルボン酸水和物",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 499-80-9,25,g,1,0,,,,,"2,4-ピリジンジカルボン酸水和物",,,"2,4-Pyridinedicarboxylic Acid Hydrate",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 499-80-9,IXRKG,P0553,24600,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-Diiodopyridine, 95%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Aldrich,-, 116195-81-4,5,g,1,0,,,,,,,,"2,5-Diiodopyridine, 95%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 116195-81-4,4.55E+12,652733,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-ｼﾞﾋﾄﾞﾛｷｼﾍﾞﾝｽﾞｱﾙﾃﾞﾋﾄﾞ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Aldrich,-, 1194-98-5,5,g,2,0,,,,,"2,5-ｼﾞﾋﾄﾞﾛｷｼﾍﾞﾝｽﾞｱﾙﾃﾞﾋﾄﾞ",,,"2,5-Dihydroxybenzaldehyde, 98%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 1194-98-5,,D108200,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-ジヒドロキシ安息香酸",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 490-79-9,25,g,2,0,,,,,"2,5-ジヒドロキシ安息香酸",,,"2,5-Dihydroxybenzoic Acid",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 490-79-9,DY2KG,D0569,5100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-ジメチルチオフェン",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 638-02-8,5,ml,1,0,,,,,"2,5-ジメチルチオフェン",,,"2,5-Dimethylthiophene",,,東京化成工業株式会社,,-,-,5,ml,ml,0.99,-,-,-,-,,,, 638-02-8,ERFEM,D1591,3600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-ジメチルチオフェン",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 638-02-8,25,ml,1,0,,,,,"2,5-ジメチルチオフェン",,,"2,5-Dimethylthiophene",,,東京化成工業株式会社,,-,-,25,ml,ml,0.99,-,-,-,-,,,, 638-02-8,ERFKM,D1591,10500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,5-ジメトキシアニリン",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 102-56-7,25,g,1,0,,,,,"2,5-ジメトキシアニリン",,,"2,5-Dimethoxyaniline",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 102-56-7,EZTKG,D1893,2800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジ-O-メチル-β-シクロデキストリン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 51166-71-3,5,g,1,0,,,,,"2,6-ジ-O-メチル-β-シクロデキストリン",,,"2,6-Di-O-methyl-beta-cyclodextrin",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 51166-71-3,8RZEG,D5992,4000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
２，６－ジアミノアントラキノン,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 131-14-6,5,g,1,0,,,,,２，６－ジアミノアントラキノン,,,"2,6-DIAMINOANTHRAQUINONE, 97%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 131-14-6,,D12007,,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジアミノピリジン",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 141-86-6,25,g,1,0,,,,,"2,6-ジアミノピリジン",,,"2,6-Diaminopyridine",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 141-86-6,EFBKG,D1154,3800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジクロロピリジン",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 2402-78-0,25,g,1,0,,,,,"2,6-ジクロロピリジン",,,"2,6-Dichloropyridine",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 2402-78-0,DUNKG,D0410,2100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジヒドロキシピリジン塩酸塩",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 10357-84-3,25,g,0,1,,,,,"2,6-ジヒドロキシピリジン塩酸塩",,,"2,6-Dihydroxypyridine Hydrochloride",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 10357-84-3,E3FKG,D2025,19800,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジヒドロキシ安息香酸 (25g)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),-, 303-07-1,25,g,1,0,,,,,"2,6-ジヒドロキシ安息香酸 (25g)",,,"2,6-Dihydroxybenzoic Acid",,,富士フイルム和光純薬(株),,-,-,25,g,g,1,室温,,-,-,,,, 303-07-1,4.99E+12,043-02272,11600,(HO)2C6H3COOH,,,,95+%(Titration),,mp. 約160℃ (分解) ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ｼﾞﾌﾞﾛﾓ-4-ﾒﾁﾙｱﾆﾘﾝ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,-, 6968-24-7,5,g,5,0,,,,,"2,6-ｼﾞﾌﾞﾛﾓ-4-ﾒﾁﾙｱﾆﾘﾝ",,,"2,6-Dibromo-4-methylaniline",,,関東化学株式会社,"Kanto Chemical Co., Inc.",-,-,5,g,g,1,-,-,-,-,,,, 6968-24-7,1010152A,10101-52,3300,C7H7Br2N,ガラスビン,,,>95.0%(HLC),264.9449,mp.73℃～76℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,Br2／C7／H7／N1,,,,,,,,
"2,6-ジメチルナフタレン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 581-42-0,1,g,1,0,,,,,"2,6-ジメチルナフタレン",,,"2,6-Dimethylnaphthalene",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 581-42-0,D34BG,D0751,5600,,,,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"2,6-ジメチルフェノール",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 576-26-1,25,g,2,0,,,,,"2,6-ジメチルフェノール",,,"2,6-Dimethylphenol",,,東京化成工業株式会社,,-,-,25,g,g,1,冷蔵貯蔵,,-,-,1,79,100, 576-26-1,D4TKG,D0776,2100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
